"","Name","Position","Age","Team","Games","GS","AFP"
"344","Mo Bamba","C",21,"ORL",62,0,19.05
"345","Willy Hernangómez","C",25,"CHO",31,0,19
"346","Solomon Hill","PF",28,"MEM",48,3,18.95
"347","Denzel Valentine","SF",26,"CHI",36,5,18.9
"348","Marvin Williams","PF",33,"CHO",41,1,18.85
"349","DeAndre' Bembry","SG",25,"ATL",43,4,18.8
"350","Boban Marjanović","C",31,"DAL",44,5,18.75
"351","DeMarre Carroll","C",33,"HOU",9,0,18.65
"352","Nicolò Melli","C",29,"NOP",60,8,18.65
"353","John Henson","C",29,"TOT",40,8,18.6
"354","Jaxson Hayes","C",19,"NOP",64,14,18.55
"355","Kyle Korver","SF",38,"MIL",58,1,18.55
"356","Alex Len","C",26,"SAC",15,3,18.45
"357","Robert Williams","C",22,"BOS",29,1,18.4
"358","Nicolas Batum","SF",31,"CHO",22,3,18.35
"359","Solomon Hill","PF",28,"TOT",59,4,18.3
"360","Willie Cauley-Stein","C",26,"DAL",13,2,18.25
"361","Chris Chiozza","PG",24,"TOT",28,2,18.25
"362","Juan Toscano-Anderson","SG",26,"GSW",13,6,18.25
"363","Frank Ntilikina","PG",21,"NYK",57,26,18.15
"364","Mike Scott","PF",31,"PHI",68,11,18.1
"365","Al-Farouq Aminu","PF",29,"ORL",18,2,18.05
"366","Harry Giles","C",21,"SAC",46,17,17.9
"367","Wilson Chandler","PF",32,"BRK",35,3,17.85
"368","John Henson","C",29,"CLE",29,2,17.85
"369","Kevin Knox","SF",20,"NYK",65,4,17.7
"370","Luka Šamanić","PF",20,"SAS",3,1,17.7
"371","Marvin Williams","PF",33,"TOT",58,1,17.7
"372","Marco Belinelli","SG",33,"SAS",57,0,17.7
"373","Hamidou Diallo","SF",21,"OKC",46,3,17.5
"374","James Ennis","SF-SG",29,"TOT",69,18,17.5
"375","Cody Martin","SF",24,"CHO",48,3,17.4
"376","Sterling Brown","SF",24,"MIL",52,1,17.4
"377","Skal Labissière","C",23,"POR",33,1,17.35
"378","Jeremy Pargo","PG",33,"GSW",3,0,17.35
"379","Alex Caruso","PG",25,"LAL",64,2,17.35
"380","Timothé Luwawu-Cabarrot","SF",24,"BRK",47,2,17.35
"381","Lonnie Walker","SG",21,"SAS",61,12,17.35
"382","Dewayne Dedmon","C",30,"TOT",44,18,17.3
"383","C.J. Miles","SF",32,"WAS",10,0,17.2
"384","Kelan Martin","SF",24,"MIN",31,4,17.2
"385","Maurice Harkless","PF-SF",26,"TOT",62,48,17
"386","Trey Burke","PG",27,"PHI",25,0,16.9
"387","Dennis Smith Jr.","PG",22,"NYK",34,3,16.85
"388","Taj Gibson","C",34,"NYK",62,56,16.8
"389","Maurice Harkless","PF",26,"LAC",50,38,16.8
"390","Caleb Martin","SF",24,"CHO",18,1,16.8
"391","Donta Hall","C",22,"BRK",5,0,16.8
"392","Nickeil Alexander-Walker","SG",21,"NOP",47,1,16.7
"393","Dwayne Bacon","SG",24,"CHO",39,11,16.65
"394","Brandon Goodwin","PG",24,"ATL",34,1,16.65
"395","Luke Kornet","C",24,"CHI",36,14,16.65
"396","Wesley Iwundu","SF",25,"ORL",52,21,16.55
"397","PJ Dozier","SG",23,"DEN",29,0,16.5
"398","James Johnson","PF",32,"MIA",18,0,16.35
"399","Dante Exum","SG",24,"CLE",24,1,16.15
"400","James Ennis","SF",29,"PHI",49,0,15.95
"401","Marvin Williams","PF",33,"MIL",17,0,15.85
"402","Georges Niang","PF",26,"UTA",66,1,15.75
"403","Tyler Johnson","PG",27,"PHO",31,3,15.7
"404","Patrick McCaw","SF",24,"TOR",37,12,15.7
"405","Abdel Nader","SF",26,"OKC",55,6,15.6
"406","Justin Jackson","PF",24,"DAL",65,3,15.55
"407","Jalen McDaniels","SF",22,"CHO",16,0,15.55
"408","Kyle O'Quinn","C",29,"PHI",29,2,15.55
"409","Bol Bol","PF",20,"DEN",7,0,15.5
"410","Sekou Doumbouya","PF",19,"DET",38,19,15.35
"411","Allen Crabbe","SG",27,"ATL",28,1,15.35
"412","Wayne Ellington","SG",32,"NYK",36,1,15.25
"413","Kadeem Allen","PG",27,"NYK",10,0,15.15
"414","Allonzo Trier","SG",24,"NYK",24,1,15.1
"415","Jevon Carter","PG",24,"PHO",58,2,15.05
"416","Anthony Tolliver","PF",34,"MEM",13,4,15.05
"417","Kenrich Williams","PF",25,"NOP",39,18,14.85
"418","Shaquille Harrison","SG",26,"CHI",43,10,14.65
"419","Patrick Patterson","PF",30,"LAC",59,18,14.65
"420","Torrey Craig","SF",29,"DEN",58,27,14.55
"421","Khem Birch","C",27,"ORL",48,24,14.55
"422","Luguentz Dort","SF",20,"OKC",36,28,14.55
"423","Frank Jackson","PG",21,"NOP",59,2,14.55
"424","Jamal Crawford","SG",39,"BRK",1,0,14.5
"425","Drew Eubanks","C",22,"SAS",22,3,14.45
"426","Noah Vonleh","C",24,"MIN",29,1,14.4
"427","Solomon Hill","PF",28,"MIA",11,1,14.35
"428","Mike Muscala","C",28,"OKC",47,2,14.3
"429","Keita Bates-Diop","SF",24,"DEN",7,0,14.3
"430","Mario Hezonja","PF",24,"POR",53,4,14.3
"431","Dewayne Dedmon","C",30,"SAC",34,10,14.25
"432","Raul Neto","PG",27,"PHI",54,3,14.25
"433","Isaiah Hartenstein","C",21,"HOU",23,2,14.2
"434","Tony Bradley","C",22,"UTA",58,3,14.2
"435","Nicolas Claxton","C",20,"BRK",15,0,14.15
"436","David Nwaba","SG",27,"BRK",20,0,14.1
"437","Edmond Sumner","SG",24,"IND",31,3,14
"438","Markieff Morris","PF",30,"LAL",14,1,13.95
"439","Brandon Knight","SG",28,"CLE",16,0,13.95
"440","Džanan Musa","SF",20,"BRK",40,0,13.9
"441","Ryan Broekhoff","SF",29,"DAL",17,1,13.85
"442","Ryan Anderson","C",31,"HOU",2,0,13.75
"443","Vince Carter","PF",43,"ATL",60,0,13.75
"444","Treveon Graham","SF",26,"MIN",33,20,13.7
"445","Talen Horton-Tucker","SG",19,"LAL",6,1,13.65
"446","Robin Lopez","C",31,"MIL",66,5,13.65
"447","Jerome Robinson","SG",22,"TOT",63,6,13.6
"448","Quinn Cook","PG",26,"LAL",44,1,13.6
"449","Isaac Bonga","SF",20,"WAS",66,49,13.6
"450","Damian Jones","C",24,"ATL",55,27,13.55
"451","Gary Payton II","SF",27,"WAS",29,17,13.45
"452","Elie Okobo","PG",22,"PHO",55,3,13.4
"453","Justin Wright-Foreman","PG",22,"UTA",4,0,13.35
"454","Matisse Thybulle","SG",22,"PHI",65,14,13.3
"455","Allen Crabbe","SG-SF",27,"TOT",37,1,13.25
"456","Ryan Arcidiacono","PG",25,"CHI",58,4,13.25
"457","Chris Chiozza","PG",24,"WAS",10,0,13.2
"458","Jarrod Uthoff","PF",26,"WAS",3,0,13.15
"459","Thon Maker","C",22,"DET",60,14,13.15
"460","Anžejs Pasečņiks","C",24,"WAS",27,0,13
"461","Rodions Kurucs","PF",21,"BRK",47,9,12.85
"462","Dusty Hannahs","SG",26,"MEM",2,0,12.75
"463","Anthony Tolliver","PF",34,"POR",33,9,12.7
"464","Dante Exum","SG",24,"TOT",35,1,12.65
"465","Iman Shumpert","SF",29,"BRK",13,0,12.6
"466","Chris Clemons","SG",22,"HOU",33,0,12.5
"467","Cheick Diallo","C",23,"PHO",47,2,12.5
"468","Tim Frazier","PG",29,"DET",27,11,12.5
"469","Paul Watson","SF",25,"TOR",8,0,12.45
"470","Matt Thomas","SG",25,"TOR",41,1,12.45
